altitude_geometrique_km,altitude_geopotentielle_km,temperature_k,temperature_c,pression_pa,pression_hpa
1.639999999999999858e+01,1.635779805515814189e+01,2.166499999999999773e+02,-5.650000000000000000e+01,9.723088714353203613e+03,9.723088714353202988e+01
1.650000000000000000e+01,1.645728249848664504e+01,2.166499999999999773e+02,-5.650000000000000000e+01,9.571747416043543126e+03,9.571747416043542955e+01
1.660000000000000142e+01,1.655676381993439605e+01,2.166499999999999773e+02,-5.650000000000000000e+01,9.422766405866275818e+03,9.422766405866275363e+01
1.669999999999999929e+01,1.665624201964833517e+01,2.166499999999999773e+02,-5.650000000000000000e+01,9.276108800979560328e+03,9.276108800979559987e+01
1.680000000000000071e+01,1.675571709777540619e+01,2.166499999999999773e+02,-5.650000000000000000e+01,9.131738296016230379e+03,9.131738296016230549e+01
1.689999999999999858e+01,1.685518905446253513e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.989619154024660020e+03,8.989619154024660475e+01
1.700000000000000000e+01,1.695465788985664091e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.849716197551979349e+03,8.849716197551978780e+01
1.710000000000000142e+01,1.705412360410463535e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.711994799867445181e+03,8.711994799867444783e+01
1.719999999999999929e+01,1.715358619735342316e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.576420876323776611e+03,8.576420876323776099e+01
1.730000000000000071e+01,1.725304566974988774e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.442960875854232654e+03,8.442960875854232938e+01
1.739999999999999858e+01,1.735250202144092313e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.311581772603332865e+03,8.311581772603332752e+01
1.750000000000000000e+01,1.745195525257339497e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.182251057689125446e+03,8.182251057689126128e+01
1.760000000000000142e+01,1.755140536329416889e+01,2.166499999999999773e+02,-5.650000000000000000e+01,8.054936731094884635e+03,8.054936731094885261e+01
1.769999999999999929e+01,1.765085235375010342e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.929607293688231948e+03,7.929607293688232517e+01
1.780000000000000071e+01,1.775029622408803931e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.806231739365701287e+03,7.806231739365701117e+01
1.789999999999999858e+01,1.784973697445482088e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.684779547320694292e+03,7.684779547320694348e+01
1.800000000000000000e+01,1.794917460499726403e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.565220674432971464e+03,7.565220674432971748e+01
1.810000000000000142e+01,1.804860911586219885e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.447525547777692736e+03,7.447525547777692623e+01
1.819999999999999929e+01,1.814804050719643058e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.331665057252197585e+03,7.331665057252197926e+01
1.830000000000000071e+01,1.824746877914675736e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.217610548318578367e+03,7.217610548318577912e+01
1.839999999999999858e+01,1.834689393185997019e+01,2.166499999999999773e+02,-5.650000000000000000e+01,7.105333814860337952e+03,7.105333814860337327e+01
1.850000000000000000e+01,1.844631596548285302e+01,2.166499999999999773e+02,-5.650000000000000000e+01,6.994807092151208053e+03,6.994807092151208394e+01
1.860000000000000142e+01,1.854573488016217553e+01,2.166499999999999773e+02,-5.650000000000000000e+01,6.886003049934499359e+03,6.886003049934498677e+01
1.869999999999999929e+01,1.864515067604470033e+01,2.166499999999999773e+02,-5.650000000000000000e+01,6.778894785611105362e+03,6.778894785611105078e+01
